nombre,tarifa,latitud,longitud,nota
La Vibora,10800,6°54'34.4"N,75°05'55.2"W,CARGADO 2026-08-26 como La víbora nueva. El sitio urbano viejo se renombro y desactivo
Alto del Rio,10800,6°54'07.1"N,75°03'47.6"W,,CARGADO 2026-08-25
Manzanares,12000,6°54'07.6"N,75°06'30.9"W,CARGADO 2026-08-26 sobre el lugar existente Vereda Manzanares
Cañada Honda,12000,6°53'60.0"N,75°03'47.1"W,CARGADO 2026-08-26
Entrada Finca Ito,13000,6°53'49.1"N,75°06'54.6"W,,CARGADO 2026-08-25
Tienda La Gurria,25000,6°54'50.2"N,75°03'12.4"W,,CARGADO 2026-08-25
Finca Doña Lucia,14600,6°53'42.5"N,75°07'02.4"W,,CARGADO 2026-08-25
Yolombito,28000,6°55'16.5"N,75°03'02.9"W,,CARGADO 2026-08-25
Finca Posada,16000,6°53'33.8"N,75°07'10.2"W,CARGADO 2026-08-26
Aeropuerto,30000,6°53'42.2"N,75°02'56.0"W,,CARGADO 2026-08-25
Terminal Ito,18200,6°53'25.2"N,75°07'22.1"W,,CARGADO 2026-08-25
La Laguna,32000,6°52'21.9"N,75°01'53.6"W,,CARGADO 2026-08-25
Montañita,15000,6°54'13.6"N,75°07'21.9"W,,CARGADO 2026-08-25
Sorrento,40000,,,
Escuela El Guaico,25000,6°53'18.9"N,75°08'15.2"W,,CARGADO 2026-08-25
Boqueron,55000,6°51'42.2"N,74°59'40.2"W,,CARGADO 2026-08-25
Caracolí,28000,6°52'43.9"N,75°08'03.8"W,,CARGADO 2026-08-25
El Taparo,12000,6°53'40.5"N,75°04'18.6"W,,CARGADO 2026-08-25
Alto del Oso,30200,6°52'41.3"N,75°08'56.7"W,,CARGADO 2026-08-25
Entrada a la Mina,15000,,,
Morro Azul,36300,6°50'52.2"N,75°09'15.6"W,,CARGADO 2026-08-25
Los Tanques,17000,,,
La Guayana,48500,6°49'08.7"N,75°09'00.9"W,,CARGADO 2026-08-25
La Mina,25000,,,
Urbanización Divino Niño,52000,6°48'49.9"N,75°08'45.9"W,,CARGADO 2026-08-25
El Poleo,28000,6°53'07.4"N,75°04'39.0"W,,CARGADO 2026-08-25
El Mango,58000,6°48'37.0"N,75°08'32.1"W,,CARGADO 2026-08-25
La Antena,40000,6°53'07.2"N,75°05'10.9"W,,CARGADO 2026-08-25
La Aguacatera,65000,,,
Cajamarca,100000,,,
Palmitas,35000,,,
La Blanquita,60000,,,
Alto Peldar,20000,6°55'14.9"N,75°05'49.8"W,,CARGADO 2026-08-25
Alto del Sapo,40000,6°56'08.9"N,75°05'55.3"W,,CARGADO 2026-08-25
Calina,30000,6°55'57.4"N,75°05'38.3"W,,CARGADO 2026-08-25
Caspete La Viborita,50000,6°55'55.8"N,75°04'26.0"W,,CARGADO 2026-08-25
